x,y
-1.0,1.1476577189353918e-16
-0.9950000000000001,0.006952146856184596
-0.99,0.013904143033820258
-0.9850000000000001,0.020855837820700437
-0.98,0.027807080437283176
-0.9750000000000001,0.03475772000297205
-0.97,0.04170760550233601
-0.9650000000000001,0.0486565857512465
-0.96,0.05560450936291319
-0.9550000000000001,0.06255122471379529
-0.95,0.06949657990936883
-0.9450000000000001,0.07644042274972696
-0.94,0.08338260069499596
-0.935,0.0903229608305418
-0.9299999999999999,0.09726134983194454
-0.925,0.1041976139297229
-0.9199999999999999,0.11113159887378336
-0.915,0.11806314989757274
-0.9099999999999999,0.12499211168190777
-0.905,0.1319183283184642
-0.8999999999999999,0.13884164327289497
-0.895,0.1457618993475599
-0.8899999999999999,0.15267893864383536
-0.885,0.15959260252398302
-0.8799999999999999,0.16650273157255052
-0.875,0.17340916555727834
-0.8700000000000001,0.18031174338948386
-0.865,0.1872103030838978
-0.8599999999999999,0.19410468171792034
-0.855,0.20099471539027403
-0.8500000000000001,0.20788023917901646
-0.845,0.2147610870988874
-0.8400000000000001,0.221637092057957
-0.835,0.2285080858135412
-0.8300000000000001,0.235373898927351
-0.825,0.24223436071984608
-0.8200000000000001,0.2490892992237483
-0.815,0.25593854113668657
-0.81,0.262781911772929
-0.8049999999999999,0.26961923501416923
-0.8,0.27645033325932056
-0.7949999999999999,0.28327502737328064
-0.79,0.29009313663461905
-0.7849999999999999,0.2969044786821478
-0.78,0.30370886946032666
-0.7749999999999999,0.3105061231634501
-0.77,0.3172960521785754
-0.7649999999999999,0.32407846702713394
-0.76,0.3308531763051702
-0.7549999999999999,0.3376199866221607
-0.75,0.3443787025383465
-0.7450000000000001,0.3511291265005254
-0.74,0.35787105877623615
-0.7349999999999999,0.36460429738627353
-0.73,0.3713286380354677
-0.7250000000000001,0.3780438740416486
-0.72,0.3847497962627363
-0.7149999999999999,0.3914461930218645
-0.71,0.3981328500304765
-0.7050000000000001,0.40480955030928734
-0.7,0.4114760741070491
-0.6950000000000001,0.4181321988170106
-0.69,0.4247776988909912
-0.685,0.4314123457509533
-0.6799999999999999,0.43803590769799244
-0.675,0.4446481498186139
-0.6699999999999999,0.4512488338882048
-0.665,0.45783771827156405
-0.6599999999999999,0.46441455782038515
-0.655,0.47097910376754776
-0.6499999999999999,0.47753110361809187
-0.645,0.4840703010367301
-0.6400000000000001,0.49059643573175116
-0.635,0.4971092433351525
-0.6299999999999999,0.5036084552788507
-0.625,0.5100937986667865
-0.6200000000000001,0.5165649961427522
-0.615,0.5230217657537471
-0.6099999999999999,0.5294638208086678
-0.605,0.5358908697321216
-0.6000000000000001,0.5423026159131429
-0.595,0.5486987575485831
-0.5899999999999999,0.5550789874809322
-0.585,0.5614429930303136
-0.5800000000000001,0.5677904558203853
-0.575,0.5741210515978601
-0.5700000000000001,0.5804344500453493
-0.565,0.5867303145872118
-0.56,0.5930083021880755
-0.5549999999999999,0.5992680631436794
-0.55,0.6055092408636639
-0.5449999999999999,0.6117314716459187
-0.54,0.6179343844420704
-0.5349999999999999,0.6241176006136704
-0.53,0.6302807336786215
-0.5249999999999999,0.6364233890473473
-0.52,0.6425451637481824
-0.5150000000000001,0.6486456461414339
-0.51,0.6547244156215233
-0.5049999999999999,0.6607810423065935
-0.5,0.6668150867149064
-0.49500000000000005,0.6728260994273483
-0.49,0.6788136207352785
-0.48499999999999993,0.6847771802729387
-0.48,0.6907162966335758
-0.47500000000000003,0.6966304769683778
-0.47,0.7025192165672632
-0.4649999999999999,0.7083819984205049
-0.45999999999999996,0.7142182927601013
-0.455,0.7200275565797202
-0.44999999999999996,0.7258092331319856
-0.4449999999999999,0.731562751401768
-0.43999999999999995,0.7372875255540671
-0.435,0.7429829543549508
-0.42999999999999994,0.7486484205639375
-0.4249999999999999,0.7542832902960597
-0.42,0.7598869123517445
-0.41500000000000004,0.7654586175124901
-0.4100000000000001,0.7709977178001802
-0.405,0.7765035056977129
-0.39999999999999997,0.7819752533284295
-0.395,0.787412211591665
-0.39000000000000007,0.7928136092514916
-0.385,0.7981786519755415
-0.37999999999999995,0.8035065213205007
-0.375,0.8087963736606274
-0.37000000000000005,0.8140473390553256
-0.365,0.819258520051478
-0.35999999999999993,0.824428990415906
-0.355,0.8295577937928762
-0.35000000000000003,0.8346439422812005
-0.345,0.8396864149249447
-0.3399999999999999,0.8446841561112607
-0.33499999999999996,0.8496360738682581
-0.33,0.8545410380552033
-0.32499999999999996,0.8593978784365923
-0.3199999999999999,0.8642053826308866
-0.31499999999999995,0.8689622939237821
-0.31,0.8736673089349531
-0.30499999999999994,0.8783190751260751
-0.2999999999999999,0.8829161881367615
-0.295,0.8874571889336629
-0.29000000000000004,0.8919405607564919
-0.2850000000000001,0.8963647258430185
-0.28,0.9007280419131855
-0.27499999999999997,0.9050287983903582
-0.27,0.909265212335302
-0.26500000000000007,0.9134354240657594
-0.26,0.9175374924314312
-0.25499999999999995,0.9215693897106587
-0.25,0.9255289960911542
-0.24500000000000005,0.929414093692611
-0.24,0.9332223600838686
-0.23499999999999993,0.9369513612414384
-0.22999999999999998,0.94059854388942
-0.22500000000000003,0.9441612271531074
-0.21999999999999997,0.9476365934496089
-0.2149999999999999,0.9510216785285027
-0.20999999999999996,0.9543133605635318
-0.20500000000000002,0.9575083481824496
-0.19999999999999996,0.9606031673058478
-0.1949999999999999,0.963594146646816
-0.18999999999999995,0.9664774017009439
-0.185,0.9692488170298957
-0.17999999999999994,0.9719040266106583
-0.17499999999999988,0.9744383919856612
-0.16999999999999993,0.9768469779048876
