x,y,err
-0.99,-0.9996020862203024,0.0012135184120352042
-0.98,-0.9991736471189848,0.0012487286352442705
-0.97,-0.9987032479363918,0.0012508011207314892
-0.96,-0.9981852490104364,0.0012525442336817475
-0.95,-0.9976145186241915,0.001254477271594864
-0.94,-0.9969853603005809,0.0012566302955130434
-0.9299999999999999,-0.9962912843099989,0.0012590329346010354
-0.9199999999999999,-0.9955248725751944,0.001261720150926095
-0.9099999999999999,-0.9946776311645035,0.0012647334552749782
-0.8999999999999999,-0.9937398172231747,0.0012681223941965743
-0.8899999999999999,-0.9927002339055323,0.0012719464435689465
-0.8799999999999999,-0.9915459872540929,0.001276277434774132
-0.8700000000000001,-0.9902621971690493,0.0012812026850413654
-0.8599999999999999,-0.9888316532853371,0.0012868290623683735
-0.8500000000000001,-0.9872344044212584,0.0012932882981375729
-0.8400000000000001,-0.9854472679967134,0.0013007439720058886
-0.8300000000000001,-0.9834432429089004,0.0013094007458437492
-0.8200000000000001,-0.9811908060195934,0.0013195166279071724
-0.81,-0.9786530684360987,0.0013314193200565359
-0.8,-0.975786763253478,0.001345528053161499
-0.79,-0.9725410313738454,0.0013623827570952312
-0.78,-0.9688559666718446,0.001382682932695619
-0.77,-0.9646608765504786,0.0014073391471247805
-0.76,-0.9598722096742531,0.00143754054307178
-0.75,-0.9543911008356378,0.0014748418996920777
-0.74,-0.9481004859737469,0.0015212732048584948
-0.73,-0.9408617523052605,0.0015794728089683734
-0.72,-0.9325109155773911,0.0016528413620754531
-0.71,-0.9228543680159034,0.0017457074394526375
-0.7,-0.9116643301798106,0.0018634873047124374
-0.69,-0.8986742861932471,0.002012811996584621
-0.6799999999999999,-0.8835749077489327,0.0022015867736774907
-0.6699999999999999,-0.86601130263433,0.0024389414329342362
-0.6599999999999999,-0.8455828752780232,0.002735021991755574
-0.6499999999999999,-0.8218476515529387,0.0031005587745691968
-0.6400000000000001,-0.7943335267166494,0.0035461212407483784
-0.6299999999999999,-0.7625593669186006,0.004080948077336329
-0.6200000000000001,-0.7260688763470587,0.004711253403553022
-0.6099999999999999,-0.6844791182066888,0.00543799983522655
-0.6000000000000001,-0.6375428623446495,0.006254332480097601
-0.5899999999999999,-0.5852191540536076,0.007143173136783309
-0.5800000000000001,-0.5277394697675473,0.008075775005808269
-0.5700000000000001,-0.4656498682652151,0.009012039140748183
-0.56,-0.3998070194825789,0.009902327618597644
-0.55,-0.3313320112886153,0.010684897880630461
-0.54,-0.26157723288123097,0.011252053478313581
-0.53,-0.19214116513872107,0.011341108465963631
-0.52,-0.12449493555399681,0.010491101146805374
-0.51,-0.05941508134201831,0.008615813597945035
-0.5,0.0020144177788938246,0.007331513695233451
-0.49,0.057763354999533265,0.008575777545379387
-0.48,0.10695521097298821,0.010502755194967912
-0.47,0.15082761798477362,0.011512493574910097
-0.45999999999999996,0.19059868806837799,0.011726659113779939
-0.44999999999999996,0.2262444958314672,0.011609288519269324
-0.43999999999999995,0.25750970763957753,0.011401152131124226
-0.42999999999999994,0.28447355287967907,0.011178306897252164
-0.42,0.3074179166047726,0.010964551885299089
-0.4100000000000001,0.32666984275566446,0.010770040736124068
-0.39999999999999997,0.34253895244427895,0.010600035851280679
-0.39000000000000007,0.3553058026884806,0.010457234202690851
-0.37999999999999995,0.3652214888284981,0.01034275164757519
-0.37000000000000005,0.3725095494251608,0.010256675454222618
-0.35999999999999993,0.3773682048843614,0.010198411944321141
-0.35000000000000003,0.37997304697391193,0.010166910331957022
-0.3399999999999999,0.38048000326450465,0.01016080586012863
-0.33,0.37902845138763974,0.010178508367861222
-0.3199999999999999,0.37574435368599207,0.010218254024679619
-0.31,0.3707433126976972,0.010278132971804339
-0.2999999999999999,0.364133489126449,0.010356102020427256
-0.29000000000000004,0.35601832778653825,0.01044998938820198
-0.28,0.34649905658186875,0.010557496594578593
-0.27,0.3356769158475517,0.010676201400563499
-0.26,0.32365508004826843,0.010803564422904805
-0.25,0.3105402246066048,0.010936940971325504
-0.24,0.29644368984448405,0.011073598411290027
-0.22999999999999998,0.28148218620578075,0.011210738059519222
-0.21999999999999997,0.26577798011247816,0.011345519118449351
-0.20999999999999996,0.24945848780875274,0.011475080474187632
-0.19999999999999996,0.2326551917710711,0.011596554037212228
-0.18999999999999995,0.215501791085451,0.011707059992335457
-0.17999999999999994,0.19813156547756142,0.011803667676890997
-0.16999999999999993,0.1806742318106924,0.011883290351690827
-0.1600000000000001,0.16325342385167746,0.011942445659271297
-0.14999999999999997,0.14598767541840546,0.011976738052747413
-0.14000000000000007,0.12900000339032727,0.011979823958318004
-0.12999999999999995,0.1124407535374748,0.01194176540922838
-0.12000000000000005,0.09651807246070174,0.011847988457703336
-0.10999999999999993,0.0815047081019452,0.011683797622132923
-0.10000000000000003,0.06766615593402056,0.01145324289925579
-0.08999999999999991,0.05509261716703915,0.011212200868451596
-0.08000000000000002,0.043564055638737345,0.011074390746616671
-0.0699999999999999,0.032708375602734305,0.01110516888834973
-0.06,0.022499394118130386,0.01115280877187396
-0.04999999999999988,0.013580864896170632,0.010957683753636437
-0.040000000000000036,0.00683784174881767,0.010526863087451177
-0.030000000000000027,0.002589416683809845,0.01014054450440765
-0.020000000000000018,0.0003698284349125196,0.009954685534245061
-0.010000000000000009,-0.0005873712630101595,0.009903684483544962
0.0,-0.0008436519167859367,0.009896549916905686
0.010000000000000009,-0.0005873712630099428,0.009903684483544964
0.020000000000000018,0.00036982843491333283,0.009954685534244886
0.030000000000000027,0.0025894166838120415,0.010140544504407665
